EXAMPLE_year_quarter;EXAMPLE_price;EXAMPLE_floor_area_log;EXAMPLE_distance_nearest_trainstation_log;EXAMPLE_neighbourhood_code;EXAMPLE_dummy_large_city
2011Q2;340000;327;1,5;E;0
2011Q2;760000;446;2,2;E;0
2011Q2;232500;70;8,8;A;0
2011Q2;372500;105;1,7;B;0
2011Q2;172000;109;3,3;C;0
2011Q2;310500;171;8,3;D;0
2011Q2;680000;425;5,7;B;0
2011Q2;126000;99;1,8;C;0
2011Q2;113000;96;1,8;B;0
2011Q2;52500;216;17;C;0
2011Q2;141000;126;3;C;0
2011Q2;134000;203;3,3;E;0
2011Q2;260000;177;16,2;D;0
2011Q2;112500;72;1,2;E;0
2011Q2;255000;109;0,8;C;0
2011Q2;645000;535;13,4;D;0
2011Q2;240000;201;6,7;D;0
2011Q2;4100000;12993;1,2;C;0
2011Q2;45000;47;4,2;E;0
2011Q2;150000;166;1,5;A;0
2011Q2;1050000;164;4,7;E;0
2011Q2;225000;291;3;B;0
2011Q2;135000;110;1,4;D;0
2011Q2;235000;269;2,3;E;0
2011Q2;625000;1923;11,5;D;0
2011Q2;255000;82;1,1;B;0
2011Q2;185000;110;1,4;B;0
2011Q2;68000;56;4,2;E;0
2011Q2;3900000;808;3,8;A;0
2011Q2;80000;56;2,7;E;0
2011Q2;70000;38;5,7;B;0
2011Q2;350000;309;1,7;C;0
2011Q2;142800;459;4,2;C;0
2011Q2;69500;72;4,5;D;0
2011Q2;144000;142;3,5;B;0
2011Q2;72000;94;3,3;E;0
2011Q2;193000;95;2,2;D;0
2011Q2;205000;510;1,8;E;0
2011Q2;2250000;1855;1;B;0
2011Q2;230000;84;4,3;A;0
2011Q2;210000;97;2,4;C;0
2011Q2;175000;104;2,8;A;0
2011Q2;165000;117;2,1;D;0
2011Q2;125000;62;1,6;C;0
2011Q2;148750;88;3,5;B;0
2011Q2;51000;107;55,5;E;0
2011Q2;139000;84;2,7;D;0
2011Q2;175000;111;3,7;C;0
2011Q2;68100;70;1;D;0
2011Q2;242500;67;5,2;C;0
2011Q2;70000;80;14;E;0
2011Q2;135000;64;1;B;0
2011Q2;170000;190;5;A;0
2011Q2;428000;119;7,6;A;0
2011Q2;208000;114;1,6;B;0
2011Q2;275000;170;1,8;D;0
2011Q2;75000;49;5,6;A;0
2011Q2;216000;110;6,7;B;0
2011Q2;172500;544;22,4;D;0
2011Q2;120000;122;8,8;D;0
2011Q2;219500;108;5,3;C;0
2011Q2;141000;45;6,7;B;0
2011Q2;180000;86;10,3;E;0
2011Q2;155500;87;1,5;E;0
2011Q2;135000;102;1;B;0
2011Q2;92500;68;6,4;B;0
2011Q2;1023000;160;1,4;A;0
2011Q2;650000;100;1,3;A;1
2011Q2;240000;277;5,1;A;0
2011Q2;394000;75;2,4;A;1
2011Q2;405000;175;3,7;B;0
2011Q2;312000;126;2,3;B;0
2011Q2;350000;703;25,9;C;0
2011Q2;238000;220;7;B;0
2011Q2;220000;114;1,4;B;0
2011Q2;158750;174;5,4;E;0
2011Q2;560000;547;9,5;A;0
2011Q2;1600000;2618;0,9;C;0
2011Q2;55000;61;4,9;E;0
2011Q2;115000;80;1,8;C;0
2011Q2;124000;77;3,3;B;0
2011Q2;62000;52;4,2;E;0
2011Q2;410000;828;2,5;C;0
2011Q2;148000;92;8,3;B;0
2011Q2;87000;65;0,7;E;0
2011Q2;2400000;1808;1,5;A;0
2011Q2;435000;224;0,7;B;0
2011Q2;640000;933;4,4;B;0
2011Q2;150000;81;3,3;D;0
2011Q2;159000;73;1;C;0
2011Q2;240000;75;1,6;A;1
2011Q2;303000;89;1,1;A;0
2011Q2;186000;228;6,4;C;0
2011Q2;144000;120;7,1;B;0
2011Q2;269000;142;5,7;D;0
2011Q2;690000;882;3,8;D;0
2011Q2;725000;847;17,3;B;0
2011Q2;295000;116;2,7;A;0
2011Q2;268000;211;13,3;C;0
2011Q2;115000;122;3,4;E;0
2011Q2;545000;122;2,2;A;1
2011Q2;145000;110;2,8;E;0
2011Q2;185000;272;5,2;B;0
2011Q2;132500;281;1,3;D;0
2011Q2;447500;194;1,1;B;0
2011Q2;223000;110;6,5;A;0
2011Q2;105000;88;5;E;0
2011Q2;269500;144;7,2;D;0
2011Q2;860000;2054;8,6;C;0
2011Q2;137500;88;0,4;B;0
2011Q2;118500;112;1,9;D;0
2011Q2;235000;93;0,8;A;1
2011Q2;172500;74;39,3;C;0
2011Q2;165000;122;2;D;0
2011Q2;207000;144;5;A;0
2011Q2;122500;67;1,8;C;0
2011Q2;510000;243;3;B;0
2011Q2;182070;220;3,4;C;0
2011Q2;240000;83;3,4;B;0
2011Q3;150000;262;5,4;D;0
2011Q3;70000;61;3,4;E;0
2011Q3;486000;127;3,4;A;0
2011Q3;43000;96;1;B;0
2011Q3;810000;1180;12,9;A;0
2011Q3;1025000;378;0,6;A;0
2011Q3;155000;540;3,2;D;0
2011Q3;261800;331;1,7;B;0
2011Q3;4600000;4368;0,8;D;0
2011Q3;825000;567;4,2;B;0
2011Q3;115000;180;8;D;0
2011Q3;150000;100;16,1;E;0
2011Q3;160000;84;1,7;A;1
2011Q3;119000;353;15,1;E;0
2011Q3;102000;163;5;E;0
2011Q3;390000;191;10,4;B;0
2011Q3;360000;267;17,5;E;0
2011Q3;132500;111;1,4;C;0
2011Q3;389000;67;2,4;B;1
2011Q3;110007;113;1,9;E;0
2011Q3;84500;69;1;D;0
2011Q3;225000;106;11,8;D;0
2011Q3;110500;128;1;A;0
2011Q3;185000;60;2,1;A;1
2011Q3;165000;95;6,7;A;0
2011Q3;1050000;262;1,8;A;0
2011Q3;60000;52;3,6;B;0
2011Q3;290000;215;1;C;0
2011Q3;110000;74;2;B;0
2011Q3;35000;127;4,1;C;0
2011Q3;104125;122;2,5;C;0
2011Q3;950000;1497;17;D;0
2011Q3;91200;86;4,5;C;1
2011Q3;1350000;1040;13,3;C;0
2011Q3;1650000;276;1,9;A;1
2011Q3;325000;162;10,4;C;0
2011Q3;141000;106;2;A;0
2011Q3;98175;61;9,6;C;0
2011Q3;60000;56;1,5;C;0
2011Q3;175000;112;1,2;E;0
2011Q3;249000;178;0,5;C;0
2011Q3;640000;1166;1,8;C;0
2011Q3;940000;1926;1,4;B;0
2011Q3;295000;107;2,5;B;0
2011Q3;215000;179;4,2;D;0
2011Q3;4700000;15230;2,9;C;0
2011Q3;120000;135;2,4;C;0
2011Q3;141667;161;1,5;C;0
2011Q3;445000;257;2,6;E;0
2011Q3;106000;90;2,7;E;0
2011Q3;157000;84;1,5;C;0
2011Q3;140000;133;2,1;D;0
2011Q3;590000;53;2,8;A;1
2011Q3;120000;81;1,4;D;0
2011Q3;210000;392;0,8;B;0
2011Q3;350000;303;28,3;B;0
2011Q3;121000;82;0,9;D;0
2011Q3;176000;106;28,1;A;0
2011Q3;135000;45;6,7;B;0
2011Q3;126500;134;2,7;E;0
2011Q3;210000;164;25,9;C;0
2011Q3;142000;99;2,6;B;1
2011Q3;320000;658;1,2;C;0
2011Q3;160000;263;15,3;E;0
2011Q3;75000;70;0,7;D;0
2011Q3;123000;102;4,4;D;0
2011Q3;410000;581;0,6;B;0
2011Q3;29000;109;3,4;E;0
2011Q3;230000;49;1,5;B;0
2011Q3;145000;43;1,4;B;0
2011Q3;335000;57;2,1;A;1
2011Q3;1300000;2507;2,3;A;0
2011Q3;155000;112;1,3;B;0
2011Q3;186000;116;1,1;D;0
2011Q3;1500000;725;1,8;B;0
2011Q3;39000;56;1,2;E;0
2011Q3;2500000;215;3;B;0
2011Q3;153250;140;2,7;C;0
2011Q3;340000;357;6;B;0
2011Q3;87000;40;5,2;A;0
2011Q3;210000;125;0,8;C;0
2011Q3;120000;191;16,3;B;0
2011Q3;37500;85;1,5;D;0
2011Q3;181000;92;2,5;B;0
2011Q3;180000;76;1,7;E;0
2011Q3;775000;154;4,1;A;0
2011Q3;127500;113;12,4;A;0
2011Q3;182000;107;10,3;D;0
2011Q3;120000;89;4,1;E;0
2011Q3;202500;218;0,9;D;0
2011Q3;47600;58;2,3;B;0
2011Q3;420000;585;5,9;C;0
2011Q3;425000;918;1,7;D;0
2011Q3;790000;1622;0,9;C;0
2011Q3;120000;188;0,4;E;0
2011Q3;25000;53;5,5;B;0
2011Q3;235500;157;7,3;B;0
2011Q3;803250;325;3,6;C;0
2011Q3;250000;301;1,6;E;0
2011Q3;194000;114;4,9;A;0
2011Q3;127500;88;2,6;B;0
2011Q3;2380000;465;2;A;1
2011Q3;81750;56;4,2;E;0
2011Q3;895000;243;5,1;B;0
2011Q3;232000;216;4,3;B;0
2011Q3;210000;115;6,7;A;0
2011Q3;36890;60;9,6;B;0
2011Q3;118000;87;3,3;D;0
2011Q3;365000;213;3;A;1
2011Q3;255000;109;1,6;C;0
2011Q3;83000;51;1,2;D;0
2011Q3;2700000;1521;16;C;0
2011Q3;265000;52;1,4;C;0
2011Q3;87500;63;1;D;0
2011Q3;79000;61;1;D;0
2011Q3;194000;114;4,9;A;0
2011Q3;320000;173;1;C;0
2011Q3;123760;96;1,8;C;0
2011Q3;515000;100;2,6;A;1
2011Q3;125000;105;13,2;D;0
2011Q3;97000;92;2,6;D;0
2011Q3;550000;980;2,8;C;0
2011Q3;58000;49;1,2;E;0
2011Q3;146250;77;3,4;A;0
2011Q3;156000;131;2,7;C;0
2011Q3;480000;333;1;C;0
2011Q3;160000;89;8;C;0
2011Q3;128000;49;4,7;A;0
2011Q3;150000;172;1;B;0
2011Q3;140000;437;1,9;D;0
2011Q3;420000;470;1,5;B;0
2011Q3;140000;80;1,1;D;0
2011Q3;103000;133;22,4;C;0
2011Q3;360000;429;6,8;B;0
2011Q3;385000;182;6,7;A;0
2011Q3;138500;141;4,7;B;0
2011Q3;4050000;2955;7,4;C;0
2011Q3;1100000;1145;9;A;0
2011Q3;37000;66;1,1;C;0
2011Q3;235000;73;0,8;D;0
2011Q3;106500;108;2,1;C;0
2011Q3;267500;410;3,5;B;0
2011Q3;175000;91;2,6;B;0
2011Q3;175000;162;1,5;B;0
2011Q3;123000;138;1,6;E;0
2011Q3;1800000;242;1,3;A;1
2011Q3;2200000;109;1,7;A;0
2011Q3;315000;509;1,6;C;0
2011Q3;180000;155;1,2;B;0
2011Q3;670000;579;5,6;B;0
2011Q4;112500;61;0,7;C;0
2011Q4;650000;2043;17;C;0
2011Q4;1200000;1657;0,5;E;0
2011Q4;330000;150;2,4;A;1
2011Q4;575000;128;25,3;D;0
2011Q4;770000;228;1,5;A;0
2011Q4;112500;195;16,6;B;0
2011Q4;550000;1210;4,2;D;0
2011Q4;1200000;920;6;D;0
2011Q4;135000;134;5,1;E;0
2011Q4;92000;130;2,8;E;0
2011Q4;227000;135;1,1;D;0
2011Q4;50000;125;0,7;C;0
2011Q4;1450000;283;1,7;B;0
2011Q4;225000;162;1,3;D;0
2011Q4;170000;62;15,2;B;0
2011Q4;925000;280;1,3;A;1
2011Q4;90000;90;3,5;B;0
2011Q4;137500;240;16,8;D;0
2011Q4;71000;73;0,4;E;0
2011Q4;650000;415;1,1;D;0
2011Q4;387000;125;1,5;B;0
2011Q4;141000;117;2,6;C;0
2011Q4;97000;78;0,7;C;0
2011Q4;206000;155;1,5;C;0
2011Q4;2280000;1923;4,6;D;0
2011Q4;115000;88;1,3;E;0
2011Q4;260000;220;0,8;E;0
2011Q4;205000;99;1,2;D;0
2011Q4;855000;320;0,6;A;0
2011Q4;60000;137;0,9;C;0
2011Q4;217000;148;3;B;0
2011Q4;48000;49;4,2;E;0
2011Q4;86250;86;0,3;A;0
2011Q4;489000;251;7,2;B;0
2011Q4;440000;345;6,2;C;0
2011Q4;420000;415;15,7;E;0
2011Q4;342500;370;8,5;E;0
2011Q4;69000;66;1,6;E;0
2011Q4;127790;98;10,1;B;0
2011Q4;131300;96;2,2;D;0
2011Q4;85500;75;1,8;C;0
2011Q4;2750000;1571;1;C;0
2011Q4;195000;140;1,8;E;0
2011Q4;120000;99;0,8;B;0
2011Q4;720000;150;4,9;A;0
2011Q4;645000;775;6,7;D;0
2011Q4;465000;877;10,2;C;0
2011Q4;240000;583;1,5;E;0
2011Q4;420000;252;7,5;B;0
2011Q4;150000;274;0,9;C;0
2011Q4;285000;133;4,8;B;0
2011Q4;73000;89;5,4;E;0
2011Q4;165000;334;7,2;E;0
2011Q4;60000;74;1;E;0
2011Q4;130000;59;1;C;0
2011Q4;250000;144;0,6;D;0
2011Q4;353000;552;1,1;D;0
2011Q4;1500000;4758;2,2;D;0
2011Q4;970000;241;1,4;B;1
2011Q4;199155;95;0,5;E;0
2011Q4;131500;60;0,6;B;0
2011Q4;151000;73;2;B;0
2011Q4;2500000;7335;2,1;D;0
2011Q4;126500;156;7,2;E;0
2011Q4;1700000;1349;10,5;E;0
2011Q4;129500;72;2;D;0
2011Q4;108153;77;9,2;B;0
2011Q4;380000;390;13,3;C;0
2011Q4;152500;299;1,4;B;0
2011Q4;645000;1246;6,8;C;0
2011Q4;288000;92;5;C;0
2011Q4;420000;479;9,1;B;0
2011Q4;795000;328;1,1;B;0
2011Q4;50000;135;1,9;D;0
2011Q4;37000;167;3,5;E;0
2011Q4;105000;58;1,4;C;0
2011Q4;2250000;787;14,1;B;0
2011Q4;260000;203;2,1;D;0
2011Q4;245000;53;10,4;B;0
2011Q4;759000;638;2,4;D;0
2011Q4;70000;64;1;D;0
2011Q4;225000;141;13,4;C;0
2011Q4;1050000;1363;3,3;B;0
2011Q4;180000;232;0,7;C;0
2011Q4;324000;147;8,4;C;0
2011Q4;415000;380;1,5;C;0
2011Q4;105000;145;17,6;E;0
2011Q4;172500;103;2,3;B;0
2011Q4;278500;560;2,6;C;0
2011Q4;330000;207;1;B;0
2011Q4;148750;105;9,2;B;0
2011Q4;275000;131;1,4;B;0
2011Q4;127500;43;1,2;C;0
2011Q4;130000;66;1,9;B;0
2011Q4;95000;49;3,5;B;0
2011Q4;345000;145;0,8;D;0
2011Q4;76000;69;1,2;E;0
2011Q4;1400000;655;1,3;A;0
2011Q4;1045000;2719;13,3;B;0
2011Q4;157500;36;2,6;A;1
2011Q4;650000;125;1,9;A;0
2011Q4;185000;126;10,1;B;0
2011Q4;920000;1197;3,8;D;0
2011Q4;295000;89;2;A;0
2011Q4;765000;750;1,9;D;0
2011Q4;190400;109;3,6;D;0
2011Q4;404600;377;7,7;B;0
2011Q4;210000;168;11,7;B;0
2011Q4;242500;139;5,4;C;0
2011Q4;170000;92;3,7;D;0
2011Q4;81000;64;2,3;D;0
2011Q4;474000;192;14,1;B;0
2011Q4;275000;103;18;A;0
2011Q4;155000;87;1,8;C;0
2011Q4;150000;63;1,7;C;0
2011Q4;153500;110;3,8;B;0
2011Q4;425000;453;1,7;B;0
2011Q4;89250;132;3,4;C;0
2011Q4;227000;264;3,2;B;0
2011Q4;131000;191;1,7;E;0
2011Q4;295000;67;2,8;A;1
2011Q4;65000;54;0,7;A;0
2011Q4;160000;138;5;A;0
2011Q4;145000;36;1,1;C;0
2011Q4;142000;74;8,9;C;0
2011Q4;114000;80;6,8;C;0
2011Q4;171000;87;12,8;B;0
2011Q4;595000;540;12,9;D;0
2011Q4;97500;70;3,4;C;0
2011Q4;95200;198;1,4;C;0
2011Q4;50000;90;21,1;E;0
2011Q4;180000;111;9,1;C;0
2011Q4;260000;302;1,6;A;0
2011Q4;87000;32;2,4;A;1
2011Q4;242000;97;1,3;B;0
2011Q4;350000;686;10,3;C;0
2011Q4;140000;112;1,4;B;0
2011Q4;107100;180;27,2;C;0
2011Q4;108000;78;1,8;C;0
2011Q4;773500;230;1,6;D;0
2011Q4;65000;53;1,2;E;0
2011Q4;260000;112;8,7;A;0
2011Q4;387500;606;0,9;D;0
2011Q4;670000;974;6,7;D;0
2011Q4;75488;129;2,5;B;0
2011Q4;330000;266;2,2;B;0
2011Q4;320000;150;1;B;0
2011Q4;220000;255;4,3;B;0
2011Q4;72000;55;4,2;E;0
2012Q1;545000;244;0,8;A;0
2012Q1;1100000;168;1,6;A;1
2012Q1;122000;61;2,7;E;0
2012Q1;115000;112;2;D;0
2012Q1;106000;89;1,3;D;0
2012Q1;94000;71;1,6;E;0
2012Q1;89500;77;2,2;E;0
2012Q1;170000;55;1,7;A;1
2012Q1;23578;116;3,2;D;0
2012Q1;360000;74;2,4;A;1
2012Q1;175000;94;5,5;D;0
2012Q1;307500;278;11;C;0
2012Q1;111000;99;3,2;C;0
2012Q1;137500;160;1,4;B;0
2012Q1;81000;100;10,4;B;0
2012Q1;218000;67;4,6;A;0
2012Q1;114004;64;0,5;B;0
2012Q1;450000;109;11,7;B;0
2012Q1;310000;75;2,7;A;0
2012Q1;126000;594;11,7;D;0
2012Q1;57000;51;2,5;C;1
2012Q1;505000;177;6;C;0
2012Q1;310000;246;6,8;E;0
2012Q1;1300000;1115;4;B;0
2012Q1;132000;40;0,5;C;0
2012Q1;450000;233;1,1;B;0
2012Q1;390000;131;10,6;C;0
2012Q1;140000;87;10,9;C;0
2012Q1;685000;369;4,3;A;0
2012Q1;155400;81;2,4;C;0
2012Q1;440000;379;2,6;B;0
2012Q1;125000;198;13,2;C;0
2012Q1;150000;277;1,3;D;0
2012Q1;1300000;201;2,6;A;0
2012Q1;217500;230;1,5;C;0
2012Q1;150000;80;10;B;0
2012Q1;85000;336;3,9;B;0
2012Q1;99375;65;3;C;0
2012Q1;203000;92;1,3;A;1
2012Q1;750000;920;3,2;D;0
2012Q1;90000;55;4,3;C;0
2012Q1;150000;317;1,7;D;0
2012Q1;415000;100;4,5;B;0
2012Q1;715000;156;2,2;D;0
2012Q1;3075000;4507;1,1;B;0
2012Q1;1725000;662;5,5;A;0
2012Q1;153500;99;1,7;D;0
2012Q1;125000;63;3,5;D;0
2012Q1;293750;819;2,7;D;0
2012Q1;270000;82;0,9;A;0
2012Q1;185000;109;1,4;D;0
2012Q1;210000;219;0,9;D;0
2012Q1;245000;132;0,3;B;0
2012Q1;85000;55;3,2;A;0
2012Q1;660000;245;2;A;0
2012Q1;1100000;372;10,9;B;0
2012Q1;287500;81;6,4;A;0
2012Q1;312500;367;1,2;C;0
2012Q1;380000;571;6,3;B;0
2012Q1;80325;53;6,1;B;0
2012Q1;171000;429;26,2;C;0
2012Q1;29851;111;1,5;C;0
2012Q1;909000;135;1,5;D;0
2012Q1;166000;106;2,4;C;0
2012Q1;60000;49;1,8;E;0
2012Q1;175000;181;0,5;D;0
2012Q1;312000;1358;0,6;C;0
2012Q1;60000;66;1,7;E;0
2012Q1;212500;205;10,8;C;0
2012Q1;270000;391;4,4;D;0
2012Q1;177500;90;3,2;C;0
2012Q1;350000;224;1,2;B;0
2012Q1;515000;286;1,6;A;1
2012Q1;380000;132;6;B;0
2012Q1;71000;150;2,3;E;0
2012Q1;160000;135;3,6;C;0
2012Q1;380000;41;21,9;A;0
2012Q1;3800000;412;1;A;0
2012Q1;90000;40;0,8;C;0
2012Q1;945000;1228;2,4;D;0
2012Q1;139000;64;0,8;C;0
2012Q1;245000;67;35;B;0
2012Q1;75000;101;5,7;C;0
2012Q1;1260000;72;29,3;E;0
2012Q1;59000;67;14;E;0
2012Q1;428400;472;5,4;A;0
2012Q1;453000;1700;1,7;D;0
2012Q1;302000;290;1,3;A;0
2012Q1;440000;354;1;C;0
2012Q1;3250000;3280;1,9;B;0
2012Q1;87000;69;2,2;E;0
2012Q1;115300;85;1,4;E;0
2012Q1;150000;167;10,9;C;0
2012Q1;130000;61;1,8;A;0
2012Q1;222000;111;3,6;C;0
2012Q1;650000;1173;4,6;B;0
2012Q1;65000;224;7,3;B;0
2012Q1;55000;68;1,8;E;0
2012Q1;1025000;165;1,5;A;0
2012Q1;82500;74;4,4;D;0
2012Q1;250000;59;1,6;A;1
2012Q1;130000;171;25,4;C;0
2012Q1;81200;54;1,9;D;0
2012Q1;220000;135;5,4;D;0
2012Q1;179000;70;6,7;B;0
2012Q1;740000;130;1,8;A;0
2012Q1;78100;62;1,7;D;0
2012Q1;350000;858;16,2;B;0
2012Q1;117500;117;5;A;0
2012Q1;550000;1096;0,9;C;0
2012Q1;350000;342;3,8;B;0
2012Q1;104000;72;2,9;C;0
2012Q1;187425;132;5,9;B;0
2012Q1;83000;84;1,8;D;0
2012Q1;90500;82;2,4;C;0
2012Q1;68000;71;1,6;E;0
2012Q1;75000;103;39,7;E;0
2012Q1;95000;136;1,4;E;0
2012Q1;190000;81;5,2;B;0
2012Q1;330000;102;7,4;C;0
2012Q1;92000;71;2,5;A;1
2012Q1;125000;49;6,7;A;0
2012Q1;435000;864;1,8;C;0
2012Q1;240000;282;3,4;E;0
2012Q1;145000;225;0,6;E;0
2012Q1;280000;155;3,3;D;0
2012Q1;850000;772;1,2;A;0
2012Q1;288000;138;4,6;B;0
2012Q1;148000;106;8;C;0
2012Q1;138000;125;3,5;D;0
2012Q1;155000;396;12,4;D;0
2012Q1;1700000;395;2,7;A;1
2012Q1;840000;865;3,2;C;0
2012Q1;815000;1564;2,7;D;0
2012Q1;142000;98;3,8;D;0
2012Q1;665000;1698;1;A;0
2012Q1;170000;135;3,6;C;0
2012Q1;97500;65;3;C;0
2012Q1;220000;95;1,2;B;0
2012Q1;150000;53;3,7;B;0
2012Q1;73750;82;1,1;C;0
2012Q1;250000;147;8,1;D;0
2012Q1;135000;151;1;C;0
2012Q1;750000;1018;7,6;D;0
2012Q1;65000;73;1,5;E;0
2012Q1;72250;91;3,5;D;0
2012Q1;160232;69;20,8;C;0
2012Q1;76100;73;1,9;D;0
2012Q1;125000;60;0,9;B;0
2012Q1;212500;52;0,9;A;1
2012Q2;850000;238;8,1;A;0
2012Q2;167000;109;1,1;B;0
2012Q2;265000;320;1,3;D;0
2012Q2;76000;93;3,4;E;0
2012Q2;194000;126;0,5;B;0
2012Q2;69000;45;1,8;C;0
2012Q2;155000;104;9,2;C;0
2012Q2;3900000;5845;6,2;B;0
2012Q2;328000;1411;5,8;B;0
2012Q2;150000;77;2,5;A;0
2012Q2;139000;126;1,4;B;0
2012Q2;229000;170;6,2;E;0
2012Q2;138403;133;6,7;C;0
2012Q2;625000;599;4,8;C;0
2012Q2;6500000;251;1,3;A;1
2012Q2;203000;123;8,3;B;0
2012Q2;570000;191;2,2;A;0
2012Q2;1300000;1627;3,1;C;0
2012Q2;150000;127;1,5;D;0
2012Q2;95000;193;2,2;C;0
2012Q2;277500;143;1,3;D;0
2012Q2;215000;70;1,2;A;0
2012Q2;257500;555;1,2;E;0
2012Q2;73375;57;1;E;0
2012Q2;270000;150;1;A;0
2012Q2;75000;107;1;C;0
2012Q2;585000;454;3,3;B;0
2012Q2;62500;40;1,8;C;0
2012Q2;375000;129;0,3;B;0
2012Q2;175000;100;2,5;B;0
2012Q2;115000;219;1,4;C;0
2012Q2;165000;115;1,7;B;0
2012Q2;144000;123;14,3;D;0
2012Q2;362500;96;1,6;A;1
2012Q2;245000;139;5,4;B;0
2012Q2;48000;39;1,8;E;0
2012Q2;123000;76;8,3;D;0
2012Q2;112000;133;0,8;E;0
2012Q2;95000;36;3,4;A;0
2012Q2;175000;122;3,3;D;0
2012Q2;116000;72;2,4;D;0
2012Q2;170000;98;0,9;A;0
2012Q2;125000;451;8,4;E;0
2012Q2;119000;45;2,4;C;0
2012Q2;85000;122;6,4;D;0
2012Q2;209000;196;0,4;B;0
2012Q2;37500;40;1,4;D;0
2012Q2;74000;116;2,6;E;0
2012Q2;1500000;2206;3,2;B;0
2012Q2;182250;95;21,7;C;0
2012Q2;315000;1091;6;C;0
2012Q2;2250000;316;8,8;C;0
2012Q2;135660;150;2,3;B;0
2012Q2;78500;68;0,7;E;0
2012Q2;80000;78;6,9;B;0
2012Q2;127500;121;8,3;A;0
2012Q2;280000;140;2,8;D;0
2012Q2;150000;99;6,1;C;0
2012Q2;462500;2020;0,5;E;0
2012Q2;105000;69;5,5;D;0
2012Q2;95000;96;4,9;C;0
2012Q2;102500;76;3,2;D;0
2012Q2;160000;81;0,9;D;0
2012Q2;525000;132;0,8;A;1
2012Q2;56000;47;4,2;E;0
2012Q2;105000;251;0,7;A;0
2012Q2;140000;301;14,6;E;0
2012Q2;695000;810;6,4;C;0
2012Q2;160550;123;3,6;E;0
2012Q2;65000;42;20,6;B;0
2012Q2;105000;57;1,3;E;0
2012Q2;150000;134;1,9;C;0
2012Q2;150000;58;1,2;A;0
2012Q2;53000;75;0,8;E;0
2012Q2;175000;175;4;B;0
2012Q2;560000;235;10,1;C;0
2012Q2;485000;206;2,7;A;0
2012Q2;1250000;965;2,7;E;0
2012Q2;130000;74;1,5;B;1
2012Q2;150000;117;1,5;E;0
2012Q2;167000;125;1,6;D;0
2012Q2;159000;106;0,6;D;0
2012Q2;74000;66;2,6;D;0
2012Q2;1300000;358;2,7;A;1
2012Q2;111000;133;2,2;E;0
2012Q2;214000;57;2,6;A;1
2012Q2;205000;373;3,7;C;0
2012Q2;229500;113;7,7;C;0
2012Q2;113000;105;1,6;D;0
2012Q2;175000;102;1,1;D;0
2012Q2;262500;260;9,9;D;0
2012Q2;157000;129;9,9;D;0
2012Q2;225000;130;2,7;C;0
2012Q2;465000;367;13,3;D;0
2012Q2;115000;43;0,8;A;0
2012Q2;640000;159;2,3;A;1
2012Q2;175000;706;8,3;B;0
2012Q2;125000;74;5,7;C;0
2012Q2;85000;64;1,5;D;0
2012Q2;385000;229;13,2;C;0
2012Q2;240000;132;10,5;C;0
2012Q2;82500;88;1,8;C;0
2012Q2;2400000;1465;2,5;A;0
2012Q2;120000;120;1,5;D;0
2012Q2;350000;281;3,2;D;0
2012Q2;110000;520;3,4;B;0
2012Q2;1240000;981;1,9;B;0
2012Q2;129000;86;1,3;C;0
2012Q2;72000;131;1,1;E;0
2012Q2;1650000;2360;6,8;C;0
2012Q2;1400000;2639;1,5;B;0
2012Q2;320000;1112;13;C;0
2012Q2;147500;103;0,8;B;0
2012Q2;61000;146;0,8;E;0
2012Q2;1350000;444;2,1;A;0
2012Q2;65000;142;6,5;E;0
2012Q2;81000;83;8;E;0
2012Q2;131500;117;4,1;E;0
2012Q2;88000;106;1,2;D;0
2012Q2;3300000;729;2,5;B;0
2012Q2;119500;72;2,9;A;0
2012Q2;184000;155;3,8;D;0
2012Q2;162000;119;9,1;C;0
2012Q2;93000;58;2,4;B;0
2012Q2;105000;81;0,7;C;0
2012Q2;60000;40;9,8;C;0
2012Q2;595000;492;1,8;B;0
2012Q2;147000;122;1,9;E;0
2012Q2;1250000;2593;1,5;B;0
2012Q2;225000;196;0,4;B;0
2012Q2;350000;810;1,4;B;0
2012Q2;107000;123;1,4;C;0
2012Q2;225000;99;1,7;B;0
2012Q2;125000;84;2,5;B;0
2012Q2;75000;64;2,7;D;0
2012Q2;130000;290;4;C;1
2012Q2;40000;190;1,6;E;0
2012Q2;2200000;6213;1,6;D;0
2012Q2;117500;91;1;B;0
2012Q2;620000;191;2;A;1
2012Q2;115000;89;5,1;B;0
2012Q2;142500;67;1,2;D;0
2012Q2;85000;77;1,2;E;0
2012Q2;25000;85;0,9;E;0
2012Q2;130000;65;3,4;C;0
2012Q2;197500;70;3;A;1
2012Q2;73500;105;2,6;B;0
2012Q2;327500;144;0,9;A;0
2012Q2;119500;73;1,9;D;0
2012Q2;297000;124;14,4;A;0
2012Q3;93000;36;1,1;B;0
2012Q3;295000;101;4,8;C;0
2012Q3;121000;141;2,4;D;0
2012Q3;355000;184;1,1;E;0
2012Q3;550000;170;2,2;A;0
2012Q3;160000;68;6,6;C;0
2012Q3;192500;117;9,9;E;0
2012Q3;180000;103;4,2;C;0
2012Q3;48581;156;4,1;B;0
2012Q3;150000;232;31,3;B;0
2012Q3;150000;118;6,5;B;0
2012Q3;225000;130;3;D;0
2012Q3;68000;59;2,4;E;0
2012Q3;103000;69;1,9;B;0
2012Q3;350000;197;1,7;D;0
